带一本书去巴黎,林达 / 生活·读书·新知三联书店 / 2002-5 / 35.00元,8.5,作者在浓厚的法国历史文化氛围中，用大量的历史细节和场景，丰富了对艺术、文化，对历史、社会，以及对“革命”的理解。
我的前半生,爱新觉罗·溥仪 / 群众出版社 / 2003-04-01 / 29.00,7.6,溥仪三度当皇帝，是中国近代特定历史环境的结果，他的人生道路凝聚着近现代社会的变迁，其改造过程则折射出国家进步的曙光。溥仪晚年的愿望，是想写一部《我的后半生》...
以色列,[以]丹尼尔·戈迪斯 / 王戎 译、宋立宏 校译 / 浙江人民出版社 / 2018-9 / 88.00元,9.1,v 以色列是 个小国，但建国以来 直吸引着世界的注意，既受到许多人青睐，也常常成为抨击的对象。 v 为什么国际社会如此关注以色列这样 个小国？ 为什么以色列...
中国历代政治得失,钱穆 / 生活·读书·新知三联书店 / 2012-7 / 24.00元,9.4,本书为作者的专题演讲合集，分别就中国汉、唐、宋、明、清五代的政治组织、百官职权、考试监察、财经赋税、兵役义务等种种政治制度作了提要钩玄的概观与比照，叙述因革...
进击的智人,河森堡 / 中信出版集团 / 2018-12 / 68.00元,7.8,★ “特别会讲故事的博物学者”河森堡首部作品。同名演讲《进击的智人》播放量破亿次。 ★ 用故事表达人文之趣。国家博物馆讲解员8年知识沉淀，听河森堡讲故事，知...
晚学盲言（上下）,钱穆 / 生活·读书·新知三联书店 / 2010-1 / 80.00元,8.4,钱穆先生86岁时患眼疾，“不能见字，不能读书”，只好口述，夫人记录，而后口诵耳听，一字一句修改订定，终稿时已92岁高龄，故曰《晚学盲言》。全书分三大部分，九...
穿在身上的历史,[法]阿尔贝·奥古斯特·拉西内著 / 李力杰 / 中国画报出版社 / 2019-4 / 328.00元,9.6,《历史上的服装》（Le costume historique）首版于1876年出版，作者奥古斯特·拉西内耗时12年，于1888年最终完成全六卷的绘制和印制。...
危机与重构,李碧妍 / 北京师范大学出版社 / 2015-8-30 / 79.80元,9.1,聂隐娘身处的时代与周遭具体如何？ 诸侯割据怎样促成了大唐帝国的重建并走向了自身的终结？ 作者于盘根错节之中抽丝剥笋，给人以读推理小说的奇妙感 “安史之乱”无...
人类的群星闪耀时,[奥] 斯蒂芬·茨威格 / 舒昌善 / 广西师范大学出版社 / 2004-8 / 18.00元,8.7,《人类群星闪耀时》由奥地利著名小说家创作。《人类群星闪耀时》内容：涌动着匪徒、探险家、叛乱者兼英雄血液的巴尔沃亚成为第一个看到太平洋的欧洲人；仅仅一秒钟的优...
大英博物馆中国简史,【英】霍吉淑 / 顾雯、谢燕 / 读者出版社 / 2019-5 / 158.00,8.3,★ 大英博物馆中国馆馆长霍吉淑撰写， 历时18个月，30余名专家参与 ★ 近3万件中国馆藏精选600件，众多珍品初次呈现 ★ 从石器时代到现代中国，以造物勾...
尘埃落定,阿来 / 人民文学出版社 / 1998-3-1 / 22.0,8.4,一个声势显赫的康巴藏族土司，在酒后和汉族太太生了一个傻瓜儿子。这个人人都认定的傻子与现实生活格格不入，却有着超时代的预感和举止，成为土司制度兴衰的见证人。小...
金雀花王朝,(英) 丹·琼斯 / 陆大鹏 / 社会科学文献出版社 / 2015-8-1 / 88.00元,8.6,金雀花王朝的初代国王从诺曼王朝手里继承的是一个四分五裂、流血漂橹的残破国家，随后却将它发展壮大成为一个帝国，其版图在巅峰时刻从苏格兰一直延伸到耶路撒冷。在这...
万历十五年,[美] 黄仁宇 / 中华书局 / 2006-8 / 36.00元,9.0,万历十五年，亦即公元1587年，在西欧历史上为西班牙舰队全部出动征英的前一年；而在中国，这平平淡淡的一年中，发生了若干为历史学家所易于忽视的事件。这些事件，...
切尔诺贝利的悲鸣,S. A. 阿列克谢耶维奇 / 方祖芳 / 郭成业 / 花城出版社 / 2015-11 / 42,9.1,★获得2015年诺贝尔文学奖，真实记录切尔诺贝利核灾难事件 ★“她的复调书写，是对我们时代的苦难和勇气的纪念。” ★“每一页，都是感人肺腑的故事。” ---...
人类简史,[以] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版集团 / 2017-2-1 / 68.00元,9.1,【内容简介】 十万年前，地球上至少有六种不同的人， 但今日，世界舞台为什么只剩下我们自己？ 从只能啃食虎狼吃剩残骨的猿人，到跃居食物链顶端的智人， 从雪维洞...
叫魂,[美] 孔飞力 / 陈兼、刘昶 / 生活·读书·新知三联书店 上海三联书店 / 2012-5 / 38.00元,9.0,《叫魂:1768年中国妖术大恐慌》中在中国的千年帝制时代，清高宗弘历可谓是空前绝后的一人，然而在乾隆盛世达到登峰造极的时候，整个大清的政治与社会生活却被一股...
半小时漫画中国史（修订版）,二混子 / 江苏凤凰文艺出版社 / 2017-4-10 / 39.90元,7.5,看半小时漫画，通三千年历史，脉络无比清晰，看完就能倒背。 仅仅通过手绘和段子，二混子就捋出清晰的历史大脉络：春秋战国像个班级、大秦过把瘾就死、三国就三大战役...
教宗与墨索里尼,[美]大卫·I.科泽 (David I. Kertzer) / 陶泽慧 / 理想国 | 上海三联书店 / 2018-6 / 108.00,8.9,★梁文道、刘瑜、熊培云、许知远联袂主编——“理想国译丛”（MIRROR）系列之一（027） ★抽丝剥茧，还原墨索里尼与庇护十一世的利益纠葛；尔虞我诈，真实版...
1984,[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00,9.3,★村上春树以《1Q84》向本书致敬 ★著名学者刘绍铭经典译本内地首次出版 ★62种文字风靡110个国家，全球销量超过5000万册 ★《时代周刊》“最好的10...
乡土中国,费孝通 / 上海人民出版社 / 2006-4 / 38.00,9.2,著名社会学家费孝通教授，一生行行重行行，实地调查和考察总结中国农村经济发展的各种模式，写下了诸多不朽篇章。本书推出的是学界共认的中国乡土社会传统文化和社会结...
未来简史,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版集团 / 2017-2 / 68.00元,8.4,进入21世纪后，曾经长期威胁人类生存、发展的瘟疫、饥荒和战争已经被攻克，智人面临着新的待办议题：永生不老、幸福快乐和成为具有“神性”的人类。在解决这些新问题...
穿越百年中东,郭建龙 / 中信出版集团 / 2016-1-15 / CNY 58.00,8.5,现代中东问题的起点，是首次世界大战后奥斯曼土耳其帝国的崩溃。在一战前，几乎整个中东地区都在奥斯曼帝国的羽翼之下，随着帝国的崩溃，一系列的阿拉伯国家建立起来。...
邓小平时代,傅高义 (Ezra.F.Vogel) / 冯克利 / 生活·读书·新知三联书店 / 2013-1 / 88.00元,9.0,邓小平深刻影响了中国历史和世界历史的走向，也改变了每一当代中国人的命运。解读邓小平的政治生涯及其行为逻辑，就是解读当代中国，解读个人命运背后的历史变局。 哈...
“边缘人”纪事,杨奎松 / 广东人民出版社 / 2016-3 / 56.00元,8.3,成功改造的旧警察 | 身败名裂的团支书 | 提心吊胆的大夫 | 疗养院里的“反革命” 自甘“堕落”的青年教师 | 爱讲怪话的文化教员 | “搞关系”的业务员...
夹边沟记事,杨显惠 / 花城出版社 / 2008-09 / 34.00元,9.2,这是一段尘封四十年的历史，当年的幸存者散落在各个角落，没有人问过他们到底发生了什么，当年的死难者早已化为白骨，连他们的后代也不知道埋在何处。幸亏杨显惠这位有...
死屋,[英]丹尼尔·比尔 / 孔俐颖 / 后浪丨四川文艺出版社 / 2019-6 / 88.00元,,俄国流放制度的溯源之作！ 探寻影响现代俄国民族心灵乃至历史未来的流放之地！ ☉编辑推荐 ☆本书作者丹尼尔·比尔运用19世纪的新闻报道、官方报告和俄国小说，为...
新教伦理与资本主义精神,马克斯·韦伯 / 于晓、陈维纲等 / 生活·读书·新知三联书店 / 1987年 / 9.80,8.8,韦伯的论文《新教伦理与资本主义精神》（Die protestantische Ethik und der Geist des Kapitalismus）是他...
长安十二时辰 上,马伯庸 / 湖南文艺出版社 / 2017-1-1 / CNY 79.60,8.4,唐天宝三年，元月十四日，长安。 大唐皇都的居民不知道，上元节辉煌灯火亮起之时，等待他们的，将是场吞噬一切的劫难。 突厥、狼卫、绑架、暗杀、烈焰、焚城，毁灭长...
像史家一般閱讀,Sam Wineburg、Daisy Martin、Chauncey Monte-Sano / 宋家復 / 國立臺灣大學出版中心 / 2016-4 / NT350,9.1,歷史不等於背誦，更重要的是──思考。 當「網路上找到的事物」被偽裝成知識， 該如何從龐雜且真偽難辨的訊息中抽絲剝繭，找出事實的脈絡？ 本書以真實歷史事件為本...
人类群星闪耀时,斯蒂芬·茨威格 / 张伟 / 北京出版社 / 2005-1 / 25.00元,8.3,这本茨威格的名著被介绍到中国已经几十年了，我们这次重新翻译、约请历史学者撰写背景资料再重新出版，更多的意义是想透过文字让读者认识到： 　　一、茨威格眼中的英...
往事与随想,[俄] 赫尔岑 / 项星耀 / 后浪丨四川人民出版社 / 2018-7 / 280.00元,9.3,俄国文学的伟大纪念碑 在历史激流中把握命运，伸张人的善与自由 ◎ 编辑推荐 ◆ 赫尔岑是俄国反沙皇专制的伟大斗士，影响了俄国、欧洲乃至世界上一代又一代的思想...
奥古斯都,[美] 约翰·威廉斯 / 郑远涛 / 上海人民出版社 / 2018-5 / 56.00元,9.2,◆ 《斯通纳》作者约翰•威廉斯的扛鼎之作，获美国国家图书奖。 不同于《斯通纳》在蒙尘50年后才重回大众视野，《奥古斯都》一面世即获美国国家图书奖，时隔40多...
